original_tweet,sentiment_result
maksudnya pengecut coba berani dirikan partai gak pilih rakyat salahkan pemerintah https t co kz zq oiz,-1
rt hukumdan mahpud pemerintah menangkap kelompok yg merusuh merusak fasilitas proses penjemputan habib rizieq orang or,1
rt dinihrdianti persoalkan indonesia resesi staf khusus kemenkeuri prastow pemerintah mjd penyan,-5
rt b doel umkm roda perekonomian indonesia perkembanganya kta dukng berkat uu cipta,-4
rt abu waras gini gaes gatot nurmantyo bintang mahaputera pahlawan tujuannya yg ditakutkan pemerin,5
rt kiyai marufamin pemerintah anggaran rp triliun mempercepat transformasi digital penyelenggaraan pemerintah,0
rt tirtoid pemerintah pusat daerah pengelola wisata dianggap gagal menerapkan protokol kesehatan libur pan,2
rt robert moses berkah obl indonesia maju investormajukanbangsa dukungan masyarakat langkah kebijakan yg tempu pemer,15
pemerintah aparat kepolisian nya gak berani apain habib gak tau sih nekat wait n see,-5
rt jumianto rk laskar petamburan kecewa pulang malu dideportasi gagal pulang overstay bayan safar dikab,-2
rt crown abie investor dunia meng apresiasi langkah pemerintah memulihkan ekonomi omnibus law diyakini sala,5
staf khusus menkeu yustinus prastowo menggarisbawahi kali pemerintah penyangga utama perekonomian market lumpuh lengkapnyauntuksemua strategipemulihanekonomi https t co ojvs cpy r,-3
rt rizmaya ah sich asli gak percaya berita ginian dech serius drun kdrun benget pemerintah on the tr,-3
menko airlangga pemerintah berjuang keras tangani pengangguran airlanggahartarto tingkatpengangguran angkatankerja suhariyanto https t co fpxxhxfy https t co vpmr zonlg,-4
rt keekeewww uu cipta kerja jg memperhatikan kelestarian lingkungan hidup dlm pasal ayat uu cipta kerja pemerin,1
ndon isback resttycayah divhumas polri ccicpolri kemkominfo restyleseh lu tulus berniat mencegah lu fokus ketujuan mulya lu tegur media pemerintah teman sensiri salah tegur ngebela teman lu yg salah berseberangan tujuan lu yg ngeberantas penyebaran akun porno fikir,-10
rt mohmahfudmd fadli zon menkopolhukam sy sdh mencoba menghubungi teman yg dgn rizieq maksud sy membant,4
pemerintah provinsi jawabarat infobdg bandungklik bandungnewsinfo https t co i qf pndv,0
rt quvvatt quiz asah felling mohonbantu vote rt tambahan utang pemerintah indonesia adala,-1
jraharja raja wan wanrawan sosmedbw uu migas penuh kepentingan oligarki putusan mk no bp migas dibubarkan pemerintah dpr membentuk bumn khusus menugaskan bumn mengelola hulu migas,0
porno bersatu giliran kritik pemerintah pecah belah,-13
rt ch chotlmah tercatat indonesia negara dgn optimisme ekonomi yg dibandingkan negara kadrun gagal lg dar,-4
jraharja raja wan wanrawan sosmedbw durian runtuh fasilitas istimewa perpanjangan jabatan hakim hakim pensiun diperpanjang diduga dibalas keputusan hakim menguntungkan pemerintah dpr,2
rt rizmaya menjaga tegaknya pancasila membuang sampah tempatnya just trust amp mendukung penu,-11
pemerintah genjot ekonomi kuartal iv https t co tmueha z pertumbuhanekonomi,0
rt rakyatjelatatv uangnya kebiasaan merugikan pelanggan susah sih manusia model,7
rt h n n a rezim jkw memimpin alokasi anggaran digelontorkan pemerintah korps bhayangkara mengalami tren peningkatan,1
rt safiqzakin mahasiswa tugas pemerintah kepentingan rakyat dike,4
rt b doel umkm roda perekonomian indonesia perkembanganya kta dukng berkat uu cipta,-4
rt mulanbilqis pemerintah membubarkan lembaga non struktural dimana pembubaran pengeluaran negara efisien ser,-2
bantuan pemerintah profinsi uang rb sembako sampe hujan hujanan bejubel gaes bdgklik bandungnewsinfo https t co cmiyufhmjd,1
noh tangkepin buzerp yg suka sebar hoax pemerintah yg ubar janji alias ngehoax rakyat patroli https t co eon qw hd,0
rt b doel hasil survei terkait kinerja jokowi penanganan pandemi covid mayoritas masyarakat rasional,-4
rt firdzaradiany mas ainunnajib fauci nya indonesia epidemiologis yg saran pemerintah jd diskus,2
rt abu waras beredar klarifikasi ibhrs informasi sampah pemerintah indonesia pemerintahan kerajaan,2
rt mulanbilqis uu cipta kerja peluang rakyat mengelola hutan amp melindungi masyarakat adat uu cipta kerja,7
rt socials nakula eizanfolks canda bisnis ellalia elnaan everadina mynaeve ekemarok edy soebekti amirhasanr,0
rt jazulijuwaini pro kontra bantuan hukum hrs pks pemerintah wajib lindungi wni https t co fy wg bxgg,1
rt tirtoid pemerintah pusat daerah pengelola wisata dianggap gagal menerapkan protokol kesehatan libur pan,2
