created_at,username,tweet
2021-01-03 12:02:06,ajunaedi05_,sekarang lagi ramai ramainya masalah pengesahan ruu cipta kerja ya terus bagaimana dengan pandemi covid apakah masih 
2021-01-03 12:02:05,uyulizatul,sazali tak puas hati kkm rancang kuarantin di rumah untuk kes covid risiko rendah tak duduk rumah sebab takde lockdown t 
2021-01-03 12:02:05,alyafrina_,baru dapat info thailand baru je lockdown lepas kes covid naik jadi cases 
2021-01-03 12:02:04,koran_metro,ngeri banget warga bojong rawalumbu terpapar covid dicuekin tak ada tindakan dari satgas 
2021-01-03 12:02:03,Media_Selangor,video covid sembuh kematian 
2021-01-03 12:02:03,bekasi_pedia,ngeri banget warga bojong rawalumbu terpapar covid dicuekin tak ada tindakan dari satgas 
2021-01-03 12:02:02,idntimes,jumlah penumpang kapal libur akhir tahun anjlok persen 
2021-01-03 12:01:59,Kodim_Sragen,minggu pukul wib anggota koramil sambungmacan melaksanakan kegiatan penegakan disiplin dan penerapan protokol kesehatan covid di wilayah kec sambungmacan 
2021-01-03 12:01:58,futurexbatman,status terkini januari kes sembuh jumlah kes sembuh kes kes baharu positif kes 
2021-01-03 12:01:58,drging1,penyebab nya covid pembentukan anti body perlu bbrp bulan mk sebln kmd hrs di booster slm blm terbtk tetap hrs m 
2021-01-03 12:01:58,andamakapela,my year old son uxelele umakhulu wakhe that ngumamakhe lo wandosulela nge covid 
2021-01-03 12:01:53,muhd24amiruldin,status terkini januari kes sembuh jumlah kes sembuh kes kes baharu positif kes 
2021-01-03 12:01:52,nabilalsag0ff,tunaikan sahajalah permintaan rakyat agar pengeluaran i sinar kwsp tanpa syarat atau kriteria 
2021-01-03 12:01:49,weedepoo,wong coong hann selaku pengarah kejurulatihan bam disahkan positif covid manakala semua pemain sea staff yang lain neg 
2021-01-03 12:01:46,KemenkesRI,pemerintah menargetkan vaksinasi covid akan berlangsung selama bulan yang terbagi dalam tahapan yakni tahap peama pada januari april yang diprioritaskan bagi juta tenaga kesehatan dan petugas publik di provinsi di indonesia 
2021-01-03 12:01:45,asri2004,insyaallah syukur kerana berdoa menjadi kekuasaan kepada allah mengambil nyawa kan yg sehingga kini jgn emosi tu kita dgn pun biar sabar dn tenang saja pinta aku kata terakhir saat masa depan henti covid mampu kekurangan mahu nasihat dengan cikgu dan murid ye 
2021-01-03 12:01:44,KamalPark_,waghih ado yang baru balik dari cameron highland ke kalau ada baik buat swap test beberapa kawasan di cameron diarah t 
2021-01-03 12:01:42,Nuyull49,kes kematian dilaporkan termasuk bukan warganegara jumlah kes kematian covid di malaysia kini kkm menguc 
2021-01-03 12:01:41,_ahmdhafizzudin,peningkatan kembali kes global covid dan bayangan pakej rangsangan ekonomi dari presiden amerika syarikat yang baru joe biden meningkatkan kembali harga emas di hujung tahun perjalanan untuk memecahkan aras usd oz 
2021-01-03 12:01:39,soeyoto1,karena netizen kepo jubir kelabakan 
2021-01-03 12:01:37,ridwanyangitu,kader ajaib dari moncong putih vaksin yg disuntikan sangat bagus sehingga immunitasnya kuat walaupun bang jago ini te 
2021-01-03 12:01:37,Jeff_Jerr,status terkini januari kes sembuh jumlah kes sembuh kes kes baharu positif kes 
2021-01-03 12:01:37,koassgigi,repo membedah tweet akun kak selama wabah covid di tuk memahami respon pemerintah berikut t 
2021-01-03 12:01:35,adyvyruz,kes kematian dilaporkan termasuk bukan warganegara jumlah kes kematian covid di malaysia kini kkm menguc 
2021-01-03 12:01:34,gesgestay,tekanan psikis yang dialami pasien dan keluarga covid sungguh memang nyata adanya mantap
2021-01-03 12:01:34,TradingDiary2,benar pak tapi irra mestinya selalu diuntungkan vaksin yaa logika 
2021-01-03 12:01:32,liputan6dotcom,provinsi dengan laporan kasus covid sembuh dan meninggal teinggi per januari 
2021-01-03 12:01:32,IDNTimesJateng,jumlah penumpang kapal libur akhir tahun anjlok persen 
2021-01-03 12:01:29,ltlamsii_,di tengah covid bpjs tetap naik pemerintah tetap menaikkan besaran iuran bpjs kesehatan mulai januari untuk pesea 
2021-01-03 12:01:27,IrfanR1997,rusli dok sus nakes gak usah gugup dengan kiriman sms cinta masih ada jalan untuk saling bantulah bikin surat keterangan buat 
2021-01-03 12:01:26,bringas3006,pro ketahanan energi pabrik baterai sdh dibangun pabrik mobil listrik bakal dibangun juga hulu ke hilir indonesia terdepan 
2021-01-03 12:01:25,einhzn,indonesia update infografis percepatan penanganan covid di indonesia per tanggal januari pukul wib 
2021-01-03 12:01:23,nababan_martha,dampak pandemi covid berimbas ke segala segala sektor bisnis dan perekonomian namun dengan segala usaha dan penyes 
2021-01-03 12:01:22,_ahmdhafizzudin,pfizer inc dan beberapa syarikat mula mengumumkan vaksin untuk covid dan harga emas terus mengalami penurunan sehingga kurang dari usd oz vaksin covid pemulihan ekonomi pelabur jual safe haven emas untuk dapatkan kembali cash demand kurang harga jatuh 
2021-01-03 12:01:21,liputan4com,pasien sembuh beambah kasus baru dan pasien covid meninggal 
2021-01-03 12:01:21,azahmuhd,berikut adalah perincian kes baharu covid di negeri perak hari ini 
2021-01-03 12:01:19,riyanprett,apa yang harus kita lakukan ketika orang terdekat positif covid sebagai orang terdekat kita bisa membantu mereka y 
2021-01-03 12:01:18,Suprayi94813531,rusli satu hal yg ditakuti dan tdk diberitakan efek samping dari vaksin covid yg dilakukan secara berkala adalah membuat t se 
2021-01-03 12:01:17,MarzianaIsmail,kes kematian dilaporkan termasuk bukan warganegara jumlah kes kematian covid di malaysia kini kkm menguc 
2021-01-03 12:01:16,pisang_haziq,kementerian memaklumkan doktor itu ada sejarah alahan dan mendakwa tiada bukti dari ujian klinikal bahawa ada yang me 
2021-01-03 12:01:16,Mueng_Engingeng,untuk saat ini vaksin tersebut masih menunggu persetujuan emergency use authorization eua dari ri apabila izinnya 
2021-01-03 12:01:12,LaporCovid,repo membedah tweet akun kak selama wabah covid di tuk memahami respon pemerintah berikut temuannya 
2021-01-03 12:01:12,Dickquake,kasus positif berikut data terbaru pasien covid di d i yogyakaa selengkapnya dapat di akses melaui 
2021-01-03 12:01:09,nandothok,mimi yuliani nazir mengatakan vaksin tersebut dikirim pemerintah pusat melalui pt bio farma persero lewat jalur darat ht 
2021-01-03 12:01:08,nababan_martha,sobat telkom indonesia terus berinovasi melawan pandemi dan memulihkan ekonomi dengan berbagai kontribusi salah satu 
2021-01-03 12:01:05,Bang_Nago,mimi yuliani nazir mengatakan vaksin tersebut dikirim pemerintah pusat melalui pt bio farma persero lewat jalur darat ht 
2021-01-03 12:01:04,fatin_illani,kes kematian dilaporkan termasuk bukan warganegara jumlah kes kematian covid di malaysia kini kkm menguc 
2021-01-03 12:01:03,faisalrazak325,kasus covid masih tinggi pemkot tangerang tunda belajar tatap muka 
2021-01-03 12:01:02,Mueng_Engingeng,rencananya program vaksinasi covid di indonesia tuntas dalam waktu bulan mulai dari januari dan akan rampung pa 
2021-01-03 12:01:01,ruiskadesu,dahlah yang paling bener tuh baca dan pahami juknis vaksin covid sama jurnal dampak vaksinnya dah 
2021-01-03 12:01:01,nababan_martha,sobat tidak ada satu pun yang menyangka covid akan mengubah dunia sepei saat ini salah satunya adalah cara beke 
2021-01-03 12:01:00,ikeramdan,aku tak rasa covid dalam malaysia ni under control dah 
2021-01-03 12:00:59,alipjffr,ajaib assalamualaikum ada sesiapa berminat nak beli hp blackberry bold amp kasut secondhand if berminat sila dm saya ikhtiar jua 
2021-01-03 12:00:59,ZyeZykia,pelaksanaan vaksinasi covid akan membutuhkan waktu bulan lawan pandemi covid 
2021-01-03 12:00:59,NasirNasnasir71,covid jan jumlah sembuh baru jumlah kumulatif jumlah kes baru jumlah kumulatif jum 
2021-01-03 12:00:59,melindanishida,ameliawidy get well soon momota another shuttler yang kena covid sebelumnya ada axelsen sama rankireddy ya kalo ga salah 
2021-01-03 12:00:57,tasyatirahh,kes kematian dilaporkan termasuk bukan warganegara jumlah kes kematian covid di malaysia kini kkm menguc 
2021-01-03 12:00:57,INDRAARDIAWAN2,untuk saat ini vaksin tersebut masih menunggu persetujuan emergency use authorization eua dari ri apabila izinnya 
2021-01-03 12:00:56,enggi_engineer,sekali lagi vaksin tidak menyebabkan kita jadi sakit tapi vaksin tidak bisa menganulir transmisi infeksi yang sudah 
2021-01-03 12:00:56,tjhinfar21,pemerintah melalui kemenkes telah memulai mengirimkan sms kepada masyarakat terkait vaksinasi covid ini 
2021-01-03 12:00:55,kai_saroo,baru dapat info thailand baru je lockdown lepas kes covid naik jadi cases 
2021-01-03 12:00:54,INDRAARDIAWAN2,pemerintah telah mendatangkan juta dosis vaksin covid ke tanah air kehadiran vaksin tersebut membawa ha 
2021-01-03 12:00:54,Wardoyomil06,kodim karanganyar sabtu tgl januari pelda mudhakir dan seu marjuki anggota koramil kerjo melaksanakan patroli himbauan dan pengawasan giat disiplin protokol kesehatan covid 
2021-01-03 12:00:53,Luwmen_,ikea umum cawangannya di damansara ditutup mulai hari ini susulan beberapa kes positif covid dikesan dalam kalangan 
