original_tweet,sentiment_result
awal tahun yang kelabu dimulai dari berita bahwa mutasi virus covid baru telah muncul dan lebih ganas dilanjut jatuhnya pesawat sj longsor dan banjir yang datang silih berganti kecelakaan beruntun dan meninggalnya sosok ulama kebanggaan indonesia syekh ali jaber ,0
vaksin uda datang presiden uda mau divaksin blackbox udah ditemukan gisel udah ngaku salah nama pelaku pembunuh ,0
ini beneran apa yg gue rasain sekitar beberapa hari ini gue inget mati terus dr kejadian sj sampe meninggalnya syeh ali jaber hari ini gue makin inget mati yaallah gue kayak bangun tidur gue lgsg inget mati pas tidur jg bedoa smg bsk masih idup ,0
seorang pria diciduk polisi usai nekat jadikan tragedi sriwijaya air sebagai candaan ,0
video kopaska cari cvr di antara puing puing sj ,0
tio btw gw kerja di sriwijaya air dan gw pendamping keluarga dari korban perlu kalian ketahui bahwa keluarga korban lihat thumbnail youtubenya dia udah berspekulasi yang aneh aneh,0
polri update penanganan kecelakaan pesawat sriwijaya air sj kamis ,0
sedihnya pesawat sj belom kelar sekarang syekh ali jabe yaallah kematian itu pasti harus terus memperbaiki ,0
tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa ,0
