original_tweet,sentiment_result
yatinadani ibrahimcruise gpfc ayah garislucu wiwikherma desakusurga yush abubakar sejutapromotor programfolback wajib pakai masker follow yatinadani spc izin ibrahimcruise gpfc rep daftar programfolbac,-5
rt yatinadani open promote sejutapromotor programfolback wajib pakai masker follow yatinadani spc izin ibrahimcruise gpfc,-6
bhabinkamtibmas polsek pulau raja desa padang sipirok kec aek ledong bripka arianto hasudungan lumban toruan sh edukasi perangkat desa adaptasi kebiasaan memakai masker jaga jarak antisipasi penularan virus covid selalupakemasker,10
rt kompascom puan maharani penanganan pandemi covid agenda prioritas dpr,-4
rt jvleha pakai lipstik ditutup masker ngecat rambut pakai hijab bukti perempuan dandan me,1
rt haikyuufess hqhalu crossover indonesian actor he said lupa pakai masker,1
giat operasi yustisi protokol kesehatan tni ad brimob sabhara dishub satpol pp pendisplinan pakai masker era kebiasaan tmc kebumen ditlantasdiy ntmclantaspolri kamselkorlantas,1
rt robert moses menko perekonomian negara berupaya mengatasi pengangguran pandemi covid jd uu cipta,-6
unit patroli polsek karawaci sambang perbankan melaksanakan himbauan satpam bank bca protokol kesehatan m memakai masker mencuci tangan menjaga jarak menghindari kerumunan mencegah virus covid senin restrotangkot,-7
personil polres padangsidimpuan rutin himbauan prokes memandang siang malam himbauan masker menjaga jarak mencuci tangan harapan masyarakat terkonfirmasi covid,0
repost divisihumaspolri sobat polri lupa memakai masker beraktivitas rumah bentuk kepedulianmu upaya pencegahan covid maskermu keselamatan,17
foto syur anya geraldine pakai busana viral anya ngamuk,2
kanit binmas polsek pulau raja aiptu muara saleh siregar melaksanakan kegiatan sambang desa sengon sari kec aek kuasan edukasi warga masyarakat adaptasi kebiasaan memakai masker jaga jarak antisipasi penularan virus covid,16
operasi yustisi covid rangka pendisiplinan masyarakat adaptasi kebiasaan teguran masyarakat memakai masker jumpai sangsi kerja sosial sangsi sosial humasrespelalawan ppelalawan,18
fansrossoneri iya bener banget tingkat kepatuhan pakai masker cuman pas berkendara gitu makan ampun deh malam lepas tu masker,10
rt tempodotco juru bicara fpi munarman mengimbau massa menyambut kedatangan rizieq indonesia berl,0
sbyfess diwajah usahakan hindari kontak langsung acid yg konsentrasinya kayak lemon jejerukan nder gabaik kulit dikonsumsi aja luarnya pakai masker yg emang uda teruji dermatologis,0
rt bppt ri bppt dpr ri melaksanakan kegiatan pelatihan perbanyakan benih tanaman ex vitro kota malang jawa timur t,-6
polres boltim bolaang mongondow timur polsek jajaran tni sat pol pp dinas perhubungan instansi terkait operasi yustisi protokol kesehatan baca selengkapnya,-4
disiplin pakai masker mencegah penularan covid poldakalbar polresbengkayang polseksungaibetung adaptasikebiasaanbaru,-2
rt kemenkeuri uu apbn disahkan instrumen penanganan pandemi covid pemulihan ekonomi nasional,-4
bhabinkamtibmas polsek pulau raja desa aek loba kec aek kuasan bripka ilham melaksanakan kegiatan sambang desa kantor kepala desa aek loba kec aek kuasan edukasi perangkat desa memakai masker jaga jarak antisipasi penularan virus covid,10
sabtu tanggal november s d wib jalan desa piasa kec somagede kab banyumas dilaksanakan operasi penertiban penggunaan masker non yustisi tahap v forkompincam somagede kab banyumas memutus penyebaran virus covid,-4
patuhi protokol kesehatan ayo pakai masker divhumas polri poldabengkulu poldabengkulu polresbengkulukota covid bengkulubermasker,4
rt tjhinfar pakai masker cuci tangan jaga jarak sepele wajib keselamatan keluarg,8
rt dr koko bikin aja gerakan berjemur nasional menit sehari gerakan buka jendela rumah melengkapi gerakan pakai ma,22
rt ariestariico investor uu ciptaker menguntungkan tenaga kerja pandemik covid,9
rt ariestariico uu urgent menghadapi ekonomi global pandemik covid athayahayya naydonut,0
satgas kondisi pandemi warga patuh pakai masker,-1
rt dr koko bikin aja gerakan berjemur nasional menit sehari gerakan buka jendela rumah melengkapi gerakan pakai ma,22
personil satlantas melaksanakan giat bakti sosial pembagian masker pengguna jalan rangka operasi aman nusa ii giat masyarakat memperhatikan protokol kesehatan terkait pencegahan covid,8
satgas covid mengungkap pandemi corona indonesia persen warga disiplin masker viruscorona,0
hallo kawan jm patuhi protokol kesehatan memutus penyebaran covid kawan jm beraktivitas dimanapun lupa m ya memakai masker menjaga jarak mencuci tangan yuk cegah penyebaran covid,16
tips membuang masker pakai lingkungan tercemar maskermu melindungiku kodim trd,3
ayo pakai masker disiplin protokol kesehatan kegiatan ops yustisi polsek pasawahan sesuai inpres no peningkatan disiplin penegakan hukum protokol kesehatan pencegahan virus covid,23
rt dr koko bikin aja gerakan berjemur nasional menit sehari gerakan buka jendela rumah melengkapi gerakan pakai ma,22
ayo pakai masker disiplin protokol kesehatan kegiatan ops yustisi polsek pasawahan sesuai inpres no peningkatan disiplin penegakan hukum protokol kesehatan pencegahan virus covid,23
patroli polsek cawas melaksanakan penertiban pengguna masker pasar masaran cawas antisipasi penyebaran covid humaspolsekcawas,1
ayo pakai masker disiplin protokol kesehatan kegiatan ops yustisi polsek pasawahan sesuai inpres no peningkatan disiplin penegakan hukum protokol kesehatan pencegahan virus covid,23
gabungan personil polsek tawangsari koramil pol pp kec tawangsari melaksanakan giat ops yustisi razia masker pendisiplinan masyarakat massa pandemi covid senin infopolisisukoharjo polisisukoharjo bersamalawancorona sukoharjolawancorona,-16
mari laksanakan protokol kesehatan cegah penyebaran covid disiplin masker mencuci tangan menjaga jarak menghindari kerumunan poldakalbar kesehatanpulihekonomibangkit disiplincegahcovid adaptasikebiasaanbaru patuhiprokespadapilkada,10
mari laksanakan protokol kesehatan cegah penyebaran covid disiplin masker mencuci tangan menjaga jarak menghindari kerumunan poldakalbar kesehatanpulihekonomibangkit disiplincegahcovid adaptasikebiasaanbaru patuhiprokespadapilkada,10
rt dr koko bikin aja gerakan berjemur nasional menit sehari gerakan buka jendela rumah melengkapi gerakan pakai ma,22
