created_at,username,tweet
2021-01-14 05:54:39,spicastarcyg,tim pemakaman jenazah dg protokol covid mdmc kulonprogo diy 
2021-01-14 05:54:39,dinaroktarini,ngabisin jatah vaksin aja si rapiahh
2021-01-14 05:54:38,Tatyz_Jung,sebelum meninggal dunia syekh ali jaber sempat terpapar virus corona covid berikut riwayat sakitnya 
2021-01-14 05:54:38,Yitno57,chotlmah ada yg mau jadi ais ini teman ingin terkenal ayo kita bantu viralkan polri reskrim h 
2021-01-14 05:54:37,tusyourbae,hari ini saya disuntik vaksin covid mewakili pemuda jawa timur peama yang disuntik vaksin covid semua berjalan aman 
2021-01-14 05:54:37,syeL_19,gak usah sok sokan ketakutan mikir ada kandungan apaan aja di dalam vaksin lu makan mie ayam pake saos botolan yang banyak pa 
2021-01-14 05:54:37,heniunique,dr tia adukan masalah raffi ahmad ke kasatgas covid 
2021-01-14 05:54:37,nofiandrea,gak usah sok sokan ketakutan mikir ada kandungan apaan aja di dalam vaksin lu makan mie ayam pake saos botolan yang banyak pa 
2021-01-14 05:54:37,AirinAirin_NZ,harus dipahami bahwa cara kerja bangsa kita ini salah satunya mewujudkan keadilan sosial bagi seluruh rakyat indonesia vaksin ciptakan imunitas kovid 
2021-01-14 05:54:37,yakindong,syekh ali jabar meninggal dunia pagi ini kabar duka itu disampaikan oleh yusuf mansur melalui akun instagram resminya 
2021-01-14 06:16:57,Hayabee2,setuju dongg kan tau vaksin ituu apa dan tujuannya apa hidup emg gk bisa senormal dulu tpi setidaknya gk ada perasaan takut utk keluar rumah atau interaksi sama org nantinya bosen tauu zoom muluu 
2021-01-14 06:16:56,nesiasty_,halo raffi ahmad setelah divaksin bukan berai keluyuran rame dong anda dipilih jatah awal vaksin karena followers b 
2021-01-14 06:16:56,hii_meow,halo raffi ahmad setelah divaksin bukan berai keluyuran rame dong anda dipilih jatah awal vaksin karena followers b 
2021-01-14 06:16:55,Imynaa1,halo raffi ahmad setelah divaksin bukan berai keluyuran rame dong anda dipilih jatah awal vaksin karena followers b 
2021-01-14 06:16:55,Aminghw1,seram sekali ceramah org ini entah siapa namanya saya tak tau dia bicara ttg vaksin dan dna sy yakin org ini pun ta 
2021-01-14 06:16:55,niiknikkk,x kamu vaksin perwakilan anak muda ya y wah kenapa saya x kamu influencer banyak orang yang akan mengikutimu dan nanti habis vaksin gapapa kalo mo kumpul kita liat kalo masih banyak yang ngebela kamu berai kamu cocok jadi influencer karena banyak orang sepeimu xixi
2021-01-14 06:16:55,arien06,buat yang nanya kenapa udh divaksin gaboleh keluyuran vaksin itu berfungsi setelah hari ya bangsat se 
2021-01-14 06:16:55,iniabeltok,syekh ali jabar meninggal dunia pagi ini kabar duka itu disampaikan oleh yusuf mansur melalui akun instagram resminya 
2021-01-14 06:16:55,Iseng57185173,rahj cuma ditegur knp ga spi ibhrs yg lgsng dijadikan tersangka atas kasus kerumunan sama berkumpul yg menyebabkan kerumun 
2021-01-14 06:16:54,Seokalda,saran saya buat pemerintah selain mengejar distribusi vaksin penting juga untuk menggencarkan edukasi vaksin 
