id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.26604E+18,Thu May 28 16:09:21 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @detikcom: Menjelang era new normal pada 1 Juni 2020 di Jawa Barat (Jabar), terbit Surat Keputusan Gubernur Jabar Ridwan Kamil yang memp…",menjelang era new normal jawa barat jabar terbit surat keputusan gubernur jabar ridwan kamil memp,in,0,58,GerhanaGW,,,detikcom,"Bandung, West Java, Indonesia",
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:09:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @VIVAcoid: Viral, Tak Mampu Beli Susu Bapak Serahkan Anaknya ke Petugas PSBB https://t.co/6tr9A6G8lc",viral tidak beli susu serahkan anaknya petugas psbb,in,0,151,putragaruda27,FALSE,,VIVAcoid,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:09:19 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tapi kalau naik mobil, dia yang nyetir saya duduk di belakang, trus turunnya di lobi bukan di parkiran.

Jadi sebelum ada aturan PSBB, saya udah begitu 😂",mobil nyetir duduk belakang turunnya lobi bukan parkiran aturan psbb,in,0,0,aneganeg,,,,Jakarta - Solo - Semarang,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:09:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Covid19Update24: Indonesia #COVID19 growth rate is fastest in Asean Region, not looking to slow down anytime soon, will beat Singapore…",indonesia growth rate is fastest in asean region not looking to slow down anytime soon will beat singapore,en,0,111,ErsaTriWahyuni,,COVID19,Covid19Update24,"Indonesia, Accounting World",
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:09:16 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@gid_osteo Bu walikota kemarin marah2 krn pasien covid nya bukan warga surabaya 🤭. Psbb tanpa sanksi tegas memang bakal percuma ya mas,bu walikota marah pasien covid nya bukan warga surabaya psbb sanksi memang mas,in,0,0,cumazaki,,,gid_osteo,Disini-sini aja,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:09:14 +0000 2020,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",Satpol PP Tangsel mengamankan 'manusia silver' yang mengemis di masa pembatasan sosial berskala besar (PSBB). Ada yang kabur ke semak-semak saat dirazia. https://t.co/HkftPrKzP8,satpol pulang pergi tangsel mengamankan manusia silver mengemis pembatasan sosial berskala psbb kabur semak semak dirazia,in,9,1,detikcom,FALSE,,,"Jakarta, Indonesia",
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:09:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Disini ga pernah WFH, juga ga ada PSBB, apalagi lockdown ataupun karantina wilayah, jadi kita udah bergaya ""new normal"" 3 bulan ini, kecuali secara std kesehatan, new normalnya belum lengkap. Kalau dari gayanya sih, sudah bos!",disini ga wfh ga psbb lockdown karantina wilayah bergaya new normal std kesehatan new normalnya lengkap gayanya sih bos,in,0,0,NestaLita_Akub,,,,"Palangka Raya, Central Borneo","[[110.734124, -3.5622], [115.84722, -3.5622], [115.84722, 0.793256], [110.734124, 0.793256]]"
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:09:12 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @gothed: alhamdulillah, PSBB diperpanjang https://t.co/jJmNMwv1PQ",alhamdulillah psbb diperpanjang,in,0,1,SENDYYeah,FALSE,,gothed,Wkwkwk Land,
,,,,,,,,,,,,,
