original_tweet,sentiment_result
sobat telkom indonesia terus berinovasi melawan pandemi dan memulihkan ekonomi dengan berbagai kontribusi salah satu ,-5
kasus covid masih tinggi pemkot tangerang tunda belajar tatap muka ,4
dahlah yang paling bener tuh baca dan pahami juknis vaksin covid sama jurnal dampak vaksinnya dah ,-6.0
sobat tidak ada satu pun yang menyangka covid akan mengubah dunia sepei saat ini salah satunya adalah cara beke ,1
aku tak rasa covid dalam malaysia ni under control dah ,-3
pelaksanaan vaksinasi covid akan membutuhkan waktu bulan lawan pandemi covid ,-8
covid jan jumlah sembuh baru jumlah kumulatif jumlah kes baru jumlah kumulatif jum ,7
ameliawidy get well soon momota another shuttler yang kena covid sebelumnya ada axelsen sama rankireddy ya kalo ga salah ,-3
sekali lagi vaksin tidak menyebabkan kita jadi sakit tapi vaksin tidak bisa menganulir transmisi infeksi yang sudah ,-7.5
pemerintah melalui kemenkes telah memulai mengirimkan sms kepada masyarakat terkait vaksinasi covid ini ,-3
kodim karanganyar sabtu tgl januari pelda mudhakir dan seu marjuki anggota koramil kerjo melaksanakan patroli himbauan dan pengawasan giat disiplin protokol kesehatan covid ,-1
van jenazah percuma kami menghantar jenazah yg positif covid dari kl ke kelantan semua urusan dr mula sampai habis ol ,-1
warga israel positif covid usai disuntik vaksin ,4
chelsea vs manchester city live streaming amp tv prediksi jalannya peandingan susunan pemain dan kabar terkini di tengah meningkatnya kasus covid di skuad man city bigmatch di stamford bridge ini bakal menyajikan pearungan menarik ,11
koko dok tlg ksh tau menkes vaksin nya ksh yg otak koslet duluan dok,12
dengan divaksinasi kita sama saja bantu melindungi orang lain apalagi vaksin di indonesia gratis tentunya ada kri ,9.450000000000001
berbagi pengalaman selama positif covid lianhua x vitamin c mg vitamin d iu zinc mg asthin force ,8
banyak orang shalih dan da i yang terjangkit covid yuk berinfaq melalui jangan biarkan mereka be ,5
ada puluhan personel polda banten yang dilibatkan dalam proses pengamanan dan pengawalan vaksin covid tersebut ,1
